team1,team2,h2h_matches,h2h_win_rate_team1,h2h_draws
South Africa,Tunisia,1,0.5,1
South Africa,Chile,0,0.5,0
South Africa,Iraq,0,0.5,0
South Africa,Norway,0,0.5,0
South Africa,Scotland,0,0.5,0
South Africa,Austria,0,0.5,0
South Africa,Jordan,0,0.5,0
USA,Australia,1,1.0,0
USA,Paraguay,3,1.0,0
USA,Turkey,1,0.0,0
USA,Canada,9,0.444,2
USA,Switzerland,2,0.0,0
USA,Qatar,1,1.0,0
USA,Bosnia,0,0.5,0
USA,France,1,0.5,1
USA,Morocco,1,1.0,0
USA,Japan,2,0.5,0
USA,Haiti,2,1.0,0
USA,Spain,0,0.5,0
USA,Nigeria,0,0.5,0
USA,Serbia,2,0.25,1
USA,New Caledonia,0,0.5,0
USA,England,2,0.25,1
USA,Senegal,0,0.5,0
USA,DR Congo,0,0.5,0
USA,Uzbekistan,1,1.0,0
USA,Brazil,2,0.25,1
USA,Colombia,5,0.1,1
USA,Belgium,1,0.0,0
USA,Saudi Arabia,2,0.75,1
USA,Argentina,1,0.0,0
USA,Ecuador,3,0.833,1
USA,Croatia,0,0.5,0
USA,Algeria,0,0.5,0
USA,Portugal,2,0.25,1
USA,Egypt,0,0.5,0
USA,Iran,1,1.0,0
USA,Suriname,0,0.5,0
USA,Germany,1,0.0,0
USA,Cameroon,0,0.5,0
USA,Uruguay,4,0.5,2
USA,Curacao,1,1.0,0
USA,Netherlands,1,0.0,0
USA,Tunisia,0,0.5,0
USA,Chile,1,0.5,1
USA,Iraq,0,0.5,0
USA,Norway,0,0.5,0
USA,Scotland,0,0.5,0
USA,Austria,0,0.5,0
USA,Jordan,0,0.5,0
Australia,Paraguay,0,0.5,0
Australia,Turkey,0,0.5,0
Australia,Canada,1,1.0,0
Australia,Switzerland,0,0.5,0
Australia,Qatar,0,0.5,0
Australia,Bosnia,0,0.5,0
Australia,France,2,0.0,0
Australia,Morocco,0,0.5,0
Australia,Japan,6,0.333,2
Australia,Haiti,0,0.5,0
Australia,Spain,0,0.5,0
Australia,Nigeria,0,0.5,0
Australia,Serbia,0,0.5,0
Australia,New Caledonia,0,0.5,0
Australia,England,2,0.0,0
Australia,Senegal,0,0.5,0
Australia,DR Congo,0,0.5,0
Australia,Uzbekistan,2,0.5,2
Australia,Brazil,1,0.0,0
Australia,Colombia,2,0.25,1
Australia,Belgium,0,0.5,0
Australia,Saudi Arabia,6,0.583,3
Australia,Argentina,2,0.0,0
Australia,Ecuador,2,0.5,0
Australia,Croatia,0,0.5,0
Australia,Algeria,0,0.5,0
Australia,Portugal,0,0.5,0
Australia,Egypt,0,0.5,0
Australia,Iran,0,0.5,0
Australia,Suriname,0,0.5,0
Australia,Germany,1,0.0,0
Australia,Cameroon,2,0.75,1
Australia,Uruguay,0,0.5,0
Australia,Curacao,1,1.0,0
Australia,Netherlands,0,0.5,0
Australia,Tunisia,1,1.0,0
Australia,Chile,1,0.5,1
Australia,Iraq,2,0.75,1
Australia,Norway,1,0.0,0
Australia,Scotland,0,0.5,0
Australia,Austria,0,0.5,0
Australia,Jordan,4,0.75,0
Paraguay,Turkey,0,0.5,0
Paraguay,Canada,0,0.5,0
Paraguay,Switzerland,0,0.5,0
Paraguay,Qatar,1,0.5,1
Paraguay,Bosnia,0,0.5,0
Paraguay,France,1,0.0,0
Paraguay,Morocco,2,0.25,1
Paraguay,Japan,4,0.125,1
Paraguay,Haiti,0,0.5,0
Paraguay,Spain,0,0.5,0
Paraguay,Nigeria,0,0.5,0
Paraguay,Serbia,1,0.0,0
Paraguay,New Caledonia,0,0.5,0
Paraguay,England,0,0.5,0
Paraguay,Senegal,0,0.5,0
Paraguay,DR Congo,0,0.5,0
Paraguay,Uzbekistan,0,0.5,0
Paraguay,Brazil,7,0.214,1
Paraguay,Colombia,10,0.25,3
Paraguay,Belgium,0,0.5,0
Paraguay,Saudi Arabia,1,0.5,1
Paraguay,Argentina,7,0.5,3
Paraguay,Ecuador,5,0.6,2
Paraguay,Croatia,0,0.5,0
Paraguay,Algeria,0,0.5,0
Paraguay,Portugal,0,0.5,0
Paraguay,Egypt,0,0.5,0
Paraguay,Iran,0,0.5,0
Paraguay,Suriname,0,0.5,0
Paraguay,Germany,0,0.5,0
Paraguay,Cameroon,0,0.5,0
Paraguay,Uruguay,7,0.286,2
Paraguay,Curacao,0,0.5,0
Paraguay,Netherlands,0,0.5,0
Paraguay,Tunisia,0,0.5,0
Paraguay,Chile,9,0.5,1
Paraguay,Iraq,0,0.5,0
Paraguay,Norway,0,0.5,0
Paraguay,Scotland,0,0.5,0
Paraguay,Austria,0,0.5,0
Paraguay,Jordan,1,1.0,0
Turkey,Canada,0,0.5,0
Turkey,Switzerland,1,0.0,0
Turkey,Qatar,0,0.5,0
Turkey,Bosnia,0,0.5,0
Turkey,France,2,0.75,1
Turkey,Morocco,0,0.5,0
Turkey,Japan,1,0.0,0
Turkey,Haiti,0,0.5,0
Turkey,Spain,3,0.167,1
Turkey,Nigeria,0,0.5,0
Turkey,Serbia,2,0.5,2
Turkey,New Caledonia,0,0.5,0
Turkey,England,1,0.0,0
Turkey,Senegal,0,0.5,0
Turkey,DR Congo,0,0.5,0
Turkey,Uzbekistan,1,1.0,0
Turkey,Brazil,0,0.5,0
